                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.87724,                0.67128,                 1.1796,                  1.008,                0.71944,                 1.2215,                0.75677,                0.55057,                0.60564,                0.34811,                 1.5343,                 1.4031,                 1.6554,                 1.7345,                 1.7327,                 1.7318,                0.00604,                0.00604,                0.00604
                     63,                0.86956,                0.68695,                 1.1962,                 1.0176,                 0.7333,                 1.2482,                0.74578,                0.56379,                0.60025,                0.33349,                   1.66,                 1.4536,                 1.8152,                 1.7989,                 1.7755,                 1.8593,               0.005974,               0.005974,               0.005974
                     64,                0.86242,                0.66177,                  1.174,                0.98923,                0.70769,                 1.2145,                0.71223,                0.56379,                0.58187,                0.33916,                 1.5176,                 1.5441,                 1.6941,                 1.6587,                 1.9522,                 1.7031,               0.005908,               0.005908,               0.005908
                     65,                0.84546,                0.69708,                 1.2013,                0.96584,                0.75679,                 1.2389,                0.66401,                0.58557,                0.56898,                0.30486,                 1.6422,                 1.4256,                 1.7893,                 1.7988,                 1.8878,                 1.8111,               0.005842,               0.005842,               0.005842
                     66,                0.82015,                0.65561,                 1.1549,                0.94485,                0.71735,                 1.1965,                0.72966,                0.54427,                0.56485,                0.31879,                 1.5771,                 1.4233,                 1.7531,                 1.7279,                 1.6944,                 1.7788,               0.005776,               0.005776,               0.005776
                     67,                0.84197,                0.63317,                 1.1632,                0.95043,                0.64988,                 1.1924,                0.64312,                0.61317,                0.58534,                0.32363,                 1.6037,                 1.5219,                   1.76,                 1.7048,                 1.8364,                 1.7477,                0.00571,                0.00571,                0.00571
                     68,                0.84107,                 0.6753,                 1.1679,                0.95151,                  0.725,                 1.2049,                0.66384,                0.60082,                0.58031,                0.31943,                 1.5324,                  1.368,                 1.7085,                 1.6655,                 1.5928,                  1.702,               0.005644,               0.005644,               0.005644
                     69,                0.77914,                0.64072,                 1.1385,                0.89689,                  0.672,                 1.1854,                0.69514,                 0.5679,                 0.6003,                0.32183,                 1.5291,                 1.3746,                 1.7084,                 1.6042,                 1.5438,                 1.6891,               0.005578,               0.005578,               0.005578
                     70,                0.80206,                0.61058,                 1.1468,                0.91418,                0.65871,                 1.1995,                 0.7156,                0.53909,                0.58999,                0.31792,                 1.4937,                 1.3682,                 1.6964,                 1.5841,                 1.5648,                  1.695,               0.005512,               0.005512,               0.005512
                     71,                0.76192,                0.58654,                 1.1348,                0.86903,                0.64695,                 1.1804,                0.64289,                0.55144,                 0.5587,                0.29771,                 1.7039,                 1.5979,                 1.8623,                 1.8463,                 1.9199,                 1.8774,               0.005446,               0.005446,               0.005446
                     72,                0.78316,                0.60001,                  1.139,                0.91067,                0.65154,                 1.1936,                0.70621,                0.58025,                0.60266,                0.32931,                 1.5637,                 1.5603,                 1.7878,                 1.6999,                 1.8181,                 1.8183,                0.00538,                0.00538,                0.00538
                     73,                0.79919,                0.64509,                 1.1432,                0.90593,                0.69999,                 1.1853,                 0.5896,                0.60905,                0.58508,                0.30292,                  1.583,                 1.4035,                 1.7342,                 1.6732,                 1.7546,                 1.7524,               0.005314,               0.005314,               0.005314
                     74,                   0.79,                0.60285,                 1.1603,                0.94146,                0.66402,                 1.2171,                0.71636,                 0.6214,                0.64696,                0.34106,                 1.5824,                 1.3495,                 1.7823,                 1.6178,                   1.71,                 1.7566,               0.005248,               0.005248,               0.005248
                     75,                0.77692,                0.61852,                  1.131,                0.91878,                0.68791,                 1.1901,                0.70257,                 0.5679,                 0.6351,                0.34036,                 1.5444,                  1.246,                 1.7284,                 1.6159,                  1.571,                 1.7133,               0.005182,               0.005182,               0.005182
                     76,                0.73665,                0.56929,                 1.1199,                0.83394,                0.60198,                 1.1561,                 0.7412,                 0.6214,                0.62746,                0.33809,                 1.6162,                  1.379,                  1.772,                 1.6638,                 1.6613,                 1.7649,               0.005116,               0.005116,               0.005116
                     77,                0.76703,                0.57543,                 1.1308,                0.86837,                0.61965,                 1.1693,                0.69346,                0.51029,                0.52622,                0.28242,                 1.6853,                 1.6594,                 1.8556,                 1.7328,                 1.8995,                 1.8135,                0.00505,                0.00505,                0.00505
                     78,                0.75384,                0.58933,                 1.1184,                0.87731,                0.61723,                 1.1558,                0.71236,                0.57074,                0.61641,                0.33943,                 1.5676,                 1.3095,                 1.7914,                  1.629,                 1.6613,                  1.761,               0.004984,               0.004984,               0.004984
                     79,                0.76963,                0.58154,                 1.1226,                0.87393,                0.63313,                 1.1599,                 0.7242,                0.58848,                0.61636,                0.34267,                 1.5232,                 1.3428,                 1.7176,                 1.6189,                 1.6849,                  1.716,               0.004918,               0.004918,               0.004918
                     80,                0.73988,                0.55133,                 1.1228,                0.83609,                 0.6083,                 1.1695,                0.72172,                0.60835,                0.61476,                0.33153,                 1.6272,                 1.4848,                 1.9174,                 1.6613,                 1.6988,                 1.8549,               0.004852,               0.004852,               0.004852
                     81,                0.72962,                0.55073,                  1.132,                0.84724,                0.56805,                 1.1758,                0.76364,                0.58025,                0.60008,                0.34151,                 1.5954,                  1.681,                 1.8647,                 1.6748,                  1.815,                 1.8003,               0.004786,               0.004786,               0.004786
                     82,                0.71408,                0.55086,                 1.0983,                0.82254,                0.57113,                 1.1363,                0.74136,                0.59671,                 0.6235,                0.34211,                 1.5365,                  1.442,                 1.7177,                 1.6779,                 1.6796,                 1.7519,                0.00472,                0.00472,                0.00472
